column0,PurchaseRequisition,PurchaseRequisitionItem,PurchaseReqnItemUniqueID,PurReqnReleaseStatus,PurchaseRequisitionItemText,Material,MaterialGroup,PurchaseRequisitionReleaseDate,PurchasingOrganization,SourceOfSupplyIsAssigned,DeliveryDate,CreationDate,ProcessingStatus,Supplier,FixedSupplier,PurchaseRequisitionType,IsPRBlocked,PurReqCreationDate,DeliveryLt5Days,DeliveryAddressID,PurReqnItemCurrency,StorageLocation,Language,CompanyCode,ItemNetAmount,DecisionFlag,PurchasingGroup,AmountGt10k
9285,10001038,10,1000103800010.0,2,Ergonomic VR Headset,,HEADSETS,2018-07-31,1710.0,False,2018-07-31,2018-07-31,B,USSU-VSF03,,NBS,0,2018-07-31,False,22889,USD,171A,EN,1710.0,3600,Reject,002,True
6848,10143847,10,1014384700010.0,2,BKS-200 Racer Forks,MZ-RM-S200-05,ZFORK,2024-06-03,1710.0,False,2024-06-06,2024-06-03,B,,USSU-VSF82,NB,0,2024-06-03,False,22889,USD,171C,EN,1710.0,52892,Reject,Z01,False
10508,10047616,10,1004761600010.0,2,BKS-100 Handle Bar,MZ-RM-S100-02,ZHANDLE,2023-06-20,1710.0,False,2023-06-23,2023-06-20,B,,USSU-VSF82,NB,0,2023-06-20,False,22889,USD,171C,EN,1710.0,870,Reject,Z01,True
10298,10066117,10,1006611700010.0,2,BKS-200 Racer Seat,MZ-RM-S200-03,ZSEAT,2023-08-07,1710.0,False,2023-08-10,2023-08-05,B,,USSU-VSF81,NB,0,2023-08-05,False,22889,USD,171C,EN,1710.0,8690.32,Reject,Z01,True
8090,10075744,10,1007574400010.0,2,BKS-100 Drive Train,MZ-RM-S100-09,ZTRAIN,2023-10-23,1710.0,False,2023-10-26,2023-10-21,B,,USSU-VSF84,NB,0,2023-10-21,False,22889,USD,171C,EN,1710.0,232260,Reject,Z01,False
10916,10001184,10,1000118400010.0,5,Gaskets 1mm,SP004,YBPM01,2019-04-24,1710.0,False,2019-04-23,2019-04-24,B,17300001,17300001,NB,0,2019-04-24,False,22889,USD,,EN,1710.0,1040,Reject,001,True
1400,10002130,10,1000213000010.0,5,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
10109,10033710,10,1003371000010.0,2,BKS-300 Mountain Forks,MZ-RM-S300-05,ZFORK,2023-02-16,1710.0,False,2023-02-22,2023-02-16,B,,USSU-VSF83,NB,0,2023-02-16,True,22889,USD,171C,EN,1710.0,141787.8,Reject,Z01,False
4612,10010978,10,1001097800010.0,2,BKS-300 Mountain Seat,MZ-RM-S300-03,ZSEAT,2021-07-19,1710.0,False,2021-07-22,2021-07-17,B,,USSU-VSF81,NB,0,2021-07-17,False,22889,USD,171C,EN,1710.0,6974.7,Reject,Z01,True
5540,10017965,10,1001796500010.0,2,BKS-200 Racer Drive Train,MZ-RM-S200-09,ZTRAIN,2021-12-15,1710.0,False,2021-12-20,2021-12-14,B,,USSU-VSF84,NB,0,2021-12-14,True,22889,USD,171C,EN,1710.0,315296,Reject,Z01,False
4575,10009712,10,1000971200010.0,2,BKS-300 Mountain Seat,MZ-RM-S300-03,ZSEAT,2021-06-29,1710.0,False,2021-07-02,2021-06-29,B,,USSU-VSF81,NB,0,2021-06-29,False,22889,USD,171C,EN,1710.0,19154.4,Reject,Z01,False
3943,10016613,10,1001661300010.0,2,BKS-100 Seat,MZ-RM-S100-03,ZSEAT,2021-09-29,1710.0,False,2021-10-04,2021-09-28,B,,USSU-VSF81,NB,0,2021-09-28,True,22889,USD,171C,EN,1710.0,24013,Reject,Z01,False
6171,10025024,10,1002502400010.0,2,BKS-100 Handle Bar,MZ-RM-S100-02,ZHANDLE,2022-08-24,1710.0,False,2022-08-29,2022-08-18,B,,USSU-VSF81,NB,0,2022-08-18,True,22889,USD,171C,EN,1710.0,12020.1,Reject,Z01,False
